,Bukit Timah Nature Reserve,Central Catchment Nature Reserve,East Coast Park,Fort Canning Park,Gardens by the Bay,HortPark,Jurong Bird Park,Kusu Island,Mandai Orchid Gardens,Marina Barrage,Merlion Park,Mount Faber Park,National Orchid Garden,Pulau Ubin,Singapore Botanic Gardens,Singapore Butterfly and Insect Kingdom,Singapore Night Safari,Singapore Zoo,Sisters' Islands,Sungei Buloh Nature Park,The Southern Ridges,St John's Island,Sungei Buloh Nature Park,The Southern Ridges
Bukit Timah Nature Reserve,0,3832,20071,16809,14796,13186,18391,0,13392,15388,15093,13615,7333,0,7169,0,14172,13906,0,18405,12937,14508,,
Central Catchment Nature Reserve,3832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2095,,
East Coast Park,20807,0,0,12478,11063,18378,36258,0,33995,11576,10820,16284,15921,0,15832,0,35686,35420,0,38751,19566,20457,,
Fort Canning Park,16809,0,10332,0,4979,9704,26994,0,32417,5571,1526,6796,5092,0,12268,0,34108,33842,0,36734,9486,13534,,
Gardens by the Bay,14796,0,10730,4979,0,10085,26846,7787,36074,1207,2199,8038,10418,0,10254,0,37765,37499,8040,40391,9867,15093,,
HortPark,11968,0,18817,9461,9785,0,20652,0,28824,10707,8523,3750,7285,0,10577,0,30515,30249,0,33580,536,15585,,
Jurong Bird Park,18916,0,43900,27299,27214,21157,0,0,28668,28027,25590,22969,21389,0,21225,0,30359,30093,0,29695,20908,30191,,
Kusu Island,0,0,0,0,7789,0,0,0,0,8281,0,0,0,0,0,0,0,0,10801,0,0,0,,
Mandai Orchid Gardens,13149,0,34720,32267,35922,29466,28157,0,0,27411,33911,31769,19356,0,19192,0,1399,1133,0,13701,29217,14433,,
Marina Barrage,15388,0,11169,5571,1207,10994,27992,8253,37944,0,2638,9698,11010,0,10846,0,39635,39369,8506,42261,10776,17443,,
Merlion Park,15093,0,9998,1527,2125,8763,25286,0,34062,3351,0,7358,6684,0,10552,0,35753,35487,0,38379,8545,15194,,
Mount Faber Park,17044,0,16792,8249,8724,4018,22672,0,27247,9405,8368,0,12573,0,12409,2144,28881,28615,0,33052,3800,18453,,
National Orchid Garden,7333,0,15770,12432,10418,7234,21079,0,19270,11010,8286,12578,0,0,285,0,20130,19864,0,24364,6985,11463,,
Singapore Botanic Gardens,7169,0,15606,12268,10254,7329,20915,0,19106,10846,10552,12414,291,0,0,0,19898,19632,0,24459,7080,11558,,
Singapore Butterfly and Insect Kingdom,18214,0,16704,6711,8636,5170,25968,0,38666,9228,6622,2143,14584,0,14420,0,31123,30857,0,42983,4952,20695,,
Singapore Night Safari,13782,0,36265,33812,37467,31011,29702,0,1399,39338,35456,33314,20261,0,20356,0,0,1038,0,15246,30762,15977,,
Singapore Zoo,13516,0,35999,33546,37201,30745,29436,0,1133,39072,35190,33048,19995,0,20090,0,1038,0,0,14980,30496,15711,,
Sisters' Islands,0,0,0,0,8041,0,0,10801,0,8533,0,0,0,0,0,0,0,0,0,0,0,0,,
Sungei Buloh Nature Park,16367,0,37771,35305,38960,32517,27887,0,11996,40831,36948,29018,22846,0,22941,0,13687,13421,0,0,32268,29054,,
The Southern Ridges,11758,41,0,0,10801,0,8533,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sungei Buloh Nature Park,16367,0,0,37771,35305,38960,32517,27887,0,11996,40831,36948,29018,22846,0,22941,0,13687,13421,0,0,0,32268,29054
The Southern Ridges,11758,0,0,18715,9211,9535,536,20442,0,28614,10457,8273,3500,7075,0,11561,0,30305,30039,0,0,33370,0,15355
Treetop Walk at MacRitche Reservoir,15240,2095,0,19844,13461,14743,16038,31686,0,14354,15335,15182,18490,11388,0,11483,0,15988,15722,0,0,32608,15789,0
