,Bukit Timah Nature Reserve,Central Catchment Nature Reserve,East Coast Park,Fort Canning Park,Gardens by the Bay,HortPark,Jurong Bird Park,Kusu Island,Mandai Orchid Gardens,Marina Barrage,Merlion Park,Mount Faber Park,National Orchid Garden,Pulau Ubin,Singapore Botanic Gardens,Singapore Butterfly and Insect Kingdom,Singapore Night Safari,Singapore Zoo,Sisters' Islands,Sungei Buloh Nature Park,The Southern Ridges,Treetop Walk at MacRitche Reservoir,Marina Bay Sands
Bukit Timah Nature Reserve,0,6.705,15.55835,12.7748,13.75435,10.35755,10.9191,15.81905,10.2734,15.0991,14.11515,11.3239,9.41485,41.64485,9.4561,13.239,11.1105,10.9279,14.6217,13.9056,9.411,11.39485,14.1366
Central Catchment Nature Reserve,7.49645,0,17.04445,11.9476,15.38015,11.9839,12.5515,17.44485,12.5702,16.5852,15.6007,12.95025,10.4637,43.13095,10.21345,14.86535,13.4073,13.2247,16.24805,16.2024,11.03735,12.744,15.76295
East Coast Park,15.57815,16.9955,0,9.60735,9.73825,16.4664,21.81955,19.01895,18.706,8.71525,9.44675,15.59465,14.5337,31.4363,12.183,15.53635,19.5431,19.3605,17.8216,22.3382,15.79045,14.10745,10.0281
Fort Canning Park,11.6385,11.9553,12.8386,0,8.0723,9.99895,14.7691,12.5515,17.58235,12.0928,4.9912,8.28075,7.06965,38.9251,7.00585,9.06945,18.4189,18.2363,11.3547,18.39855,8.02225,12.53445,6.7259
Gardens by the Bay,15.8735,17.29085,9.39505,7.99695,0,10.13315,16.0022,12.6857,19.00135,9.1514,10.1535,9.2614,12.4008,35.2203,12.4789,9.2031,19.83845,19.65585,11.48835,22.63355,9.4572,14.4028,5.42955
HortPark,12.15,12.3095,13.9364,9.1701,9.6728,0,12.7462,10.94935,16.09405,13.6933,14.6954,6.4542,8.8456,39.76165,8.71745,8.1493,16.93115,16.748,9.75255,19.7257,5.48565,13.3963,10.05505
Jurong Bird Park,12.4217,13.85005,21.313,16.06985,17.0494,13.69275,0,19.1141,14.7559,21.06935,21.2866,14.61895,14.4226,47.13825,14.83895,16.53405,15.59245,15.40985,17.91675,14.5799,12.70605,18.56685,17.43165
Kusu Island,16.99605,17.15555,16.6094,11.8431,12.3458,11.0082,17.5928,0,20.94065,16.3663,17.3684,10.1403,13.6922,42.4352,13.5635,10.82835,21.7772,21.5946,5.09735,24.5723,10.33225,18.2429,12.7286
Mandai Orchid Gardens,9.76575,12.4558,18.94745,17.8458,18.7874,16.76835,14.39015,22.1897,0,18.4882,17.5037,17.69455,14.40005,42.50065,12.84465,19.60965,4.73545,4.55285,20.99235,9.4396,15.78165,11.52575,19.19165
Marina Barrage,16.1265,17.54385,8.1647,8.76915,5.29975,10.38615,16.2552,12.9387,19.25435,0,8.42705,9.5144,12.6538,33.98995,12.73135,9.4561,20.09145,19.90885,11.74135,22.88655,9.7102,14.6558,5.682
Merlion Park,17.034,18.4519,10.55555,5.92235,5.28875,9.0403,14.92365,11.59285,20.1624,10.31245,0,8.1691,8.37645,36.3808,8.31265,8.11025,20.99895,20.81635,10.39605,23.79405,8.36435,15.56385,4.9648
Mount Faber Park,14.8186,14.9781,13.14715,8.38085,8.88355,7.29845,15.41535,10.1601,19.84285,12.90405,13.90615,0,11.8145,38.9724,10.2536,7.36005,20.6794,20.4968,8.9633,23.4745,6.6225,16.3652,9.26635
National Orchid Garden,9.3274,9.3307,14.0651,7.3243,10.5451,9.2867,13.53325,13.21535,12.4558,13.60585,12.62135,8.7202,0,40.1516,5.3366,10.0292,13.2929,13.1103,12.018,16.088,7.60315,9.75805,10.9279
Pulau Ubin,42.0931,43.511,30.322,34.66205,34.79295,42.9819,48.3345,52.06955,42.36425,33.7705,34.502,42.11015,41.0492,0,38.6985,42.05185,43.2008,43.0182,44.3371,46.66525,42.30595,40.62295,35.08335
Singapore Botanic Gardens,8.5167,9.42805,12.9277,7.2946,12.76765,9.4517,13.6977,13.18565,12.55975,12.46845,11.48395,8.6905,5.4092,39.0142,0,9.9995,13.39685,13.21425,11.9883,16.19195,7.76815,9.86255,10.8982
Singapore Butterfly and Insect Kingdom,14.7427,14.9022,13.07125,8.30495,8.80765,8.19055,15.33945,10.7442,19.7664,12.82815,13.83025,7.3232,9.8796,38.8965,9.8158,0,20.6035,20.4209,9.54685,23.3986,7.5146,16.2893,9.1899
Singapore Night Safari,10.5363,13.22635,19.71745,18.61635,19.55795,17.5389,15.1607,22.9597,4.66945,19.25875,18.27425,18.4651,15.1706,43.2712,13.6152,20.37965,0,4.21295,21.7629,10.21015,16.5522,12.2963,19.9622
Singapore Zoo,10.3537,13.04375,19.53485,18.43375,19.37535,17.35575,14.97755,22.7771,4.4863,19.07615,18.09165,18.28195,14.988,43.0886,13.4326,20.19705,4.21295,0,21.5803,10.02755,16.3696,12.1137,19.77905
Sisters' Islands,15.79925,15.95875,15.4126,10.64575,11.149,9.81085,16.396,5.09735,19.7433,15.16895,16.17105,8.9435,12.49485,41.23785,12.3667,9.631,20.5804,20.3978,0,23.3755,9.1349,17.04555,11.53125
Sungei Buloh Nature Park,12.00425,16.6996,23.19125,22.6781,23.03175,21.01215,14.1993,26.4335,9.4297,22.732,21.7475,21.93835,18.64385,46.63445,17.08845,23.85345,10.2668,10.0842,25.23615,0,20.026,15.64415,23.43545
The Southern Ridges,10.96475,11.1237,13.29455,8.52825,9.03095,5.58355,11.56095,10.3075,14.9088,13.05145,14.05355,5.81235,7.66035,39.1198,7.53165,7.50745,15.74535,15.56275,9.1107,18.54045,0,12.21105,9.41375
Treetop Walk at MacRitche Reservoir,12.1027,13.5206,14.3566,13.2027,14.1971,13.54315,17.5279,18.26765,11.1149,13.89735,12.9134,13.7725,10.94495,42.05185,10.24205,16.49225,11.952,11.7694,17.0703,15.4159,11.8596,0,14.6008
Marina Bay Sands,14.9253,16.34265,8.67345,5.2244,5.088,10.4208,16.28985,12.97335,18.05315,8.4441,4.8823,9.5496,13.88085,34.4987,11.53015,9.49075,18.89025,18.70765,11.77655,21.68535,9.74485,13.4546,0
