,Abdul Gaffoor Mosque,Bright Hill Temple (Khong Meng San Phor Kark See Temple),Buddha Tooth Relic Temple,Cathedral of the Good Shepherd,Central Sikh Temple,Hajjah Fatimah Mosque,Jamae Mosque,Kwan Im Thong Hood Cho Temple,Leong San See Temple,Maghain Aboth Synagogue,Nagore Durgha Shrine,Siong Lim Temple,Sri Krishnan Temple,Sri Mariamman Temple,Sri Srinivasa Perumal Temple,Sri Thandayuthapani Temple,Sri Veeramakaliamman Temple,Sultan Mosque,Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),Thian Hock Keng Temple,Marina Bay Sands
Abdul Gaffoor Mosque,0,9.8895,6.20395,5.297,5.79695,4.73765,5.9482,4.2443,5.08525,4.48355,6.1418,7.83855,4.3939,6.02025,4.8999,5.3091,4.5182,4.74645,5.0715,6.36345,8.54585
Bright Hill Temple (Khong Meng San Phor Kark See Temple),9.4187,0,11.3987,11.5846,8.6498,9.58315,11.14295,9.91425,8.9039,10.3933,11.33655,7.48875,10.06385,11.215,9.081,10.6518,9.7025,9.6574,8.9226,11.55875,12.81825
Buddha Tooth Relic Temple,8.9457,11.79305,0,5.65835,8.17735,9.1107,4.8889,6.72425,8.3979,6.4839,4.73655,11.28925,6.67805,5.00275,8.3693,5.70565,8.828,9.18495,8.38415,4.5809,5.56265
Cathedral of the Good Shepherd,5.6017,10.17,6.1638,0,6.07745,5.5038,5.90805,4.2905,5.36575,4.1013,6.10165,7.5223,4.2443,5.97955,5.1804,5.2684,4.7987,5.5126,5.352,6.3233,5.25685
Central Sikh Temple,5.08305,8.5134,9.01335,7.6488,0,5.23595,8.7576,5.2464,4.604,5.48565,8.9512,5.83215,5.396,8.82965,4.74535,8.26645,5.275,5.3102,4.6227,9.17285,7.9887
Hajjah Fatimah Mosque,5.7623,10.27945,5.9691,5.2277,5.79365,0,5.71335,5.92565,5.2827,6.1649,5.9064,7.6081,6.0747,6.0241,5.4246,6.6511,5.95425,4.23,5.3014,6.1286,5.74525
Jamae Mosque,8.46995,11.31675,4.439,5.264,7.70105,8.6344,0,6.26555,7.92215,6.0252,5.01595,10.1909,6.21935,4.2432,7.893,5.24695,8.35225,8.70865,7.90785,5.2376,7.2209
Kwan Im Thong Hood Cho Temple,5.3641,9.9324,5.92565,4.9626,5.83985,5.26565,5.6699,0,5.12815,4.20525,5.8635,7.28415,4.1156,5.74195,4.94225,5.0308,4.56055,5.27445,5.11385,6.0857,6.94095
Leong San See Temple,4.84435,8.8643,7.56685,7.75275,4.71455,5.17105,7.3111,5.0077,0,6.56145,7.50415,6.15885,5.1573,7.3826,4.2575,6.81995,4.59905,5.2453,3.91375,7.72635,8.3209
Maghain Aboth Synagogue,5.4521,10.0204,6.0142,4.6568,5.92785,5.3542,5.75845,4.14035,5.21615,0,5.95205,7.3727,4.09415,5.82995,5.03025,5.1188,4.6491,5.363,5.2024,6.1737,5.3586
Nagore Durgha Shrine,8.73615,11.58295,4.41755,5.5302,7.9678,8.9006,4.1618,6.5323,8.18835,6.29195,0,10.9477,6.48555,4.5094,8.1592,5.51315,8.61845,6.02685,8.1746,4.1376,4.9934
Siong Lim Temple,6.83755,7.77365,10.21345,8.6597,7.46455,7.3859,9.9577,8.72845,6.3585,9.20805,10.2393,0,8.87805,10.0292,6.49985,9.46655,8.5167,7.4519,6.37665,11.05385,10.11885
Sri Krishnan Temple,5.33935,9.90765,5.90145,4.93785,5.8151,5.2409,5.6457,3.9462,5.1034,4.18105,5.83875,7.2594,0,5.7172,4.9175,5.00605,4.5358,5.25025,5.08965,6.06095,6.91675
Sri Mariamman Temple,9.02325,11.8706,4.11615,5.7359,8.2549,9.18825,4.92245,6.8018,8.47545,6.56145,4.7701,11.1765,6.7556,0,8.44685,5.78265,8.90555,9.2625,8.4617,4.61445,5.5962
Sri Srinivasa Perumal Temple,5.0891,9.03205,7.7346,7.91995,4.7976,5.2541,7.4783,5.25245,4.2861,6.7292,7.6719,6.2419,5.40205,7.55035,0,6.98715,4.95765,5.32835,4.3048,7.8941,8.40395
Sri Thandayuthapani Temple,6.23695,10.32235,5.14465,4.78385,6.70665,6.1385,4.8889,5.2288,6.4608,4.98845,5.08195,9.1965,5.18205,4.9604,5.8151,0,5.4334,6.1473,6.4465,5.30415,6.1594
Sri Veeramakaliamman Temple,4.73105,8.1537,8.1438,5.8107,5.2068,5.0121,7.88805,4.758,4.4951,4.99725,8.0811,6.6511,4.9076,7.95955,4.3092,5.8228,0,5.0209,4.4808,8.3033,8.81315
Sultan Mosque,6.078,10.5957,5.5863,4.84545,6.1099,5.1782,5.33055,4.51985,5.59895,4.61115,5.52415,7.92435,4.5347,5.6413,5.7403,6.26885,6.2705,0,5.61765,5.7458,5.638
Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),4.8306,8.883,7.585,7.7709,4.73325,5.18975,7.32925,4.99395,3.91375,6.5796,7.52285,6.17755,5.14355,7.4013,4.24375,6.8381,4.58475,5.264,0,7.74505,8.3396
Thian Hock Keng Temple,8.7466,11.5934,4.428,5.5412,7.97825,8.9116,4.17225,6.54275,8.1988,6.3024,3.9605,11.0082,6.49655,4.51985,8.1702,5.5236,8.6289,6.0868,8.18505,0,5.0539
Marina Bay Sands,7.2605,11.58845,5.5423,5.1111,9.3362,6.3607,5.28655,5.4345,6.78145,5.3124,5.1342,8.9171,5.3883,5.6347,6.9228,6.53505,10.38835,5.85525,6.7996,5.3564,0
