,ArtScience Museum,Asian Civilisation Museum,Changi Prison Chapel and Museum,Images of Singapore,Istana,Malay Heritage Centre,National Museum of Singapore,Peranakan Museum,Red Dot Design Museum,Singapore Art Museum,Singapore Philatelic Museum
ArtScience Museum,0,1600,17526,7903,3887,2504,2187,2063,766,2128,1987
Asian Civilisation Museum,1604,0,17584,7230,2944,2270,1407,1073,1340,1487,898
Changi Prison Chapel and Museum,17511,17588,0,24474,18630,15751,17159,17262,18361,17007,17374
Images of Singapore,7928,7248,24494,0,8749,9005,7915,7577,7195,7986,7401
Istana,3888,2944,18630,8749,0,3278,1678,2078,4246,1840,2189
Malay Heritage Centre,2506,2270,15751,9016,3278,0,1806,1820,3208,1569,1934
National Museum of Singapore,2168,1407,17159,7915,1677,1806,0,406,2501,369,548
Peranakan Museum,2044,1073,17262,7577,2076,1820,406,0,2219,479,223
Red Dot Design Museum,766,1337,18362,7169,4246,3208,2499,2239,0,2487,2064
Singapore Art Museum,2130,1487,17007,7986,1840,1569,369,479,2487,0,621
Singapore Philatelic Museum,1989,898,17374,7401,2218,1934,548,223,2043,621,0
